pop,sec,cadad.cainf,cal.gcalbar,can.gcanbar,cat.gcatbar,ih.gbar,kBK.gpeak,kap.gbar,kdmc.gbar,kdr.gbar,nax.gbar,pas.g
CT5B,soma,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.013,0.15,0.00013
PT5B,Adend1,0.00024,4.41583533572e-06,4.60717910591e-06,,0.0009508884978406061,5.09733585163e-05,0.0898600246397,,0.0131103978049,0.0345117294903,9.30129299683914e-05
PT5B,Adend2,0.00024,4.41583533572e-06,4.60717910591e-06,,0.00565,5.09733585163e-05,0.0898600246397,,0.0131103978049,0.0345117294903,9.30129299683914e-05
PT5B,Adend3,0.00024,4.41583533572e-06,4.60717910591e-06,,0.00565,5.09733585163e-05,0.0898600246397,,0.0131103978049,0.0345117294903,9.30129299683914e-05
PT5B,Bdend,0.00024,4.41583533572e-06,4.60717910591e-06,,0.000140956438043,5.09733585163e-05,0.0898600246397,,0.0131103978049,0.0345117294903,7.620207783345154e-05
PT5B,axon,,,,,,,0.4493001231985,0.00894731261468,0.0655519890245,0.1725586474515,0.00025347188561059
PT5B,soma,0.00024,4.41583533572e-06,4.60717910591e-06,,0.000140956438043,5.09733585163e-05,0.0898600246397,0.000447365630734,0.016,0.0335,6e-05
IT6,Adend1,0.00024,7.79902252875e-05,8.43780573752e-05,5.85477866612e-05,3.13760461868e-05,4.2923494376e-05,0.306752147542,,0.00501206206504,0.146326621958,2.068954962610324e-05
IT6,Adend2,0.00024,7.79902252875e-05,8.43780573752e-05,5.85477866612e-05,3.13760461868e-05,4.2923494376e-05,0.306752147542,,0.00501206206504,0.146326621958,2.068954962610324e-05
IT6,Adend3,0.00024,7.79902252875e-05,8.43780573752e-05,5.85477866612e-05,3.13760461868e-05,4.2923494376e-05,0.306752147542,,0.00501206206504,0.146326621958,2.068954962610324e-05
IT6,Bdend,0.00024,7.79902252875e-05,8.43780573752e-05,5.85477866612e-05,3.13760461868e-05,4.2923494376e-05,0.306752147542,,0.00501206206504,0.146326621958,8.5005383721367e-05
IT6,axon,,,,,,,1.5337607377099998,,0.025060310325199998,0.73163310979,0.00032045160242059065
IT6,soma,0.00024,7.79902252875e-05,8.43780573752e-05,5.85477866612e-05,3.13760461868e-05,4.2923494376e-05,0.306752147542,,0.0095,0.25,3.913592118479913e-05
CT6,Adend1,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
CT6,Adend2,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
CT6,Adend3,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,7.199592136286027e-05
CT6,Bdend,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.00833766634808,0.0768253702194,0.00014147647761414165
CT6,axon,,,,,,,0.120097619549,,0.0416883317404,0.384126851097,0.00035435694659685776
CT6,soma,0.00024,2.39132864454e-06,8.13137955053e-07,9.29455717585e-07,3.3176340367e-05,4.45651933019e-05,0.0240195239098,,0.013,0.15,0.00013
